model,strategy,roc_auc_mean,roc_auc_std,pr_auc_mean,f1_mean,recall_mean
KNN,smote,0.9308620863599677,0.01315252769935771,0.9178320884858632,0.8527450251645373,0.8354662698412699
KNN,none,0.9302269135055152,0.014513059907023,0.9169548019369491,0.8523848715631857,0.8418154761904763
Logistic Regression,smote,0.9260136983230204,0.011241221783585227,0.9263542973669757,0.8592060555723346,0.8893849206349206
Logistic Regression,none,0.9257485875706216,0.012157411069215158,0.9261841677606053,0.855649175538103,0.8925595238095237
Logistic Regression,class_weight,0.9256957335664964,0.012134830208955045,0.9261904848692719,0.8539175738065012,0.8893849206349206
Random Forest,smote,0.9888062449556093,0.008459727321450144,0.9888277351468536,0.9588992581478702,0.9557043650793651
Random Forest,class_weight,0.9884093074612142,0.008562650497670396,0.9880674803692313,0.9572001778003557,0.952579365079365
Random Forest,none,0.9883297181867098,0.009234179419053088,0.9887586630834232,0.956992448112028,0.9493551587301587
SVM,class_weight,0.9613144561025917,0.015904611450256265,0.9600114466480301,0.9041812095557432,0.9272321428571427
SVM,none,0.9612616581472514,0.016129484167120785,0.9598428210691836,0.9092380296671912,0.9367063492063492
SVM,smote,0.9595148977670164,0.015853186402512875,0.9583060331035067,0.9073663897962149,0.930406746031746
