model,seed,roc_auc_mean,roc_auc_std_folds,pr_auc_mean,f1_mean,recall_mean
Logistic Regression,11,0.9249586920455565,0.021166840191931963,0.9236059647067736,0.8423745317221043,0.8575396825396826
Logistic Regression,22,0.9271209981167609,0.027377446297642508,0.9308786707250581,0.8501320893314643,0.8640873015873016
Logistic Regression,33,0.9248977109676261,0.022647820106346382,0.9256450077915748,0.8506841290528498,0.8703373015873016
Logistic Regression,44,0.9252741346067618,0.01811596807181706,0.9242042389659668,0.8481482756478513,0.8702876984126984
Logistic Regression,55,0.9240619675365437,0.01702887590396321,0.9248545179431671,0.852114437727997,0.8636904761904762
KNN,11,0.9885116805667653,0.012477078914628403,0.987928716036601,0.9457723292078517,0.9400793650793652
KNN,22,0.9874295186530357,0.01015674173752058,0.9837656059944185,0.9730462332118464,0.9683531746031747
KNN,33,0.9851751804770872,0.018991897205225802,0.9792017221739702,0.9579922316162094,0.9431051587301587
KNN,44,0.9892843691148775,0.0098872113631402,0.9853510757242201,0.955875,0.9589285714285714
KNN,55,0.9930137431620482,0.0045709340336146966,0.991749249284946,0.9601332816319422,0.9587301587301587
SVM,11,0.9763385570800824,0.020423438129404614,0.9717654590173573,0.9392746104043426,0.9305555555555556
SVM,22,0.9836423302842794,0.01411776453275383,0.9823442839272666,0.955341887182135,0.9493055555555555
SVM,33,0.9738476369832302,0.027868101627118086,0.9715932355667581,0.9401657523874626,0.9272321428571428
SVM,44,0.9798388597435206,0.010556995137635434,0.9777280451116788,0.9545811688311687,0.9620039682539682
SVM,55,0.9727456618240516,0.022019571223996563,0.9679761335019833,0.9508422024604041,0.9492559523809524
Random Forest,11,0.9885928672316384,0.009049983346335966,0.9886836075228608,0.9615123150928447,0.9494543650793652
Random Forest,22,0.9917414637700654,0.00821383971385711,0.9917526779288744,0.969724193548387,0.9621031746031747
Random Forest,33,0.991266702537889,0.0074898936564831995,0.9913018010736401,0.9540809063432014,0.930406746031746
Random Forest,44,0.9919830060084296,0.007236989861542241,0.9915327914760323,0.968299445199623,0.9682539682539681
Random Forest,55,0.9919548975428212,0.0049875009497303965,0.9914512032231902,0.9695832427574741,0.965079365079365
