combination,models,type,weights,roc_auc,pr_auc,f1,recall,specificity,precision,brier
KNN + RF (Weighted),KNN + Random Forest,pairwise_weighted,"{""KNN"": 0.8478, ""Random Forest"": 0.1522}",0.9927236357478515,0.9922841351749918,0.96,0.9493670886075949,0.9698996655518395,0.970873786407767,0.029104326754340347
Hybrid Ensemble (Weighted),KNN + SVM + Random Forest,triplet_weighted,"{""KNN"": 0.8478, ""SVM"": 0.0, ""Random Forest"": 0.1522}",0.9927236357478515,0.9922841351749918,0.96,0.9493670886075949,0.9698996655518395,0.970873786407767,0.029104326754340323
KNN + RF (Unweighted),KNN + Random Forest,pairwise_unweighted,"{""KNN"": 0.5, ""Random Forest"": 0.5}",0.9925648787096228,0.9921638852866113,0.9680511182108626,0.9588607594936709,0.9765886287625418,0.9774193548387097,0.030584443038280482
KNN Alone,KNN,individual,"{""KNN"": 1.0}",0.992421997375217,0.9912092482320727,0.9551282051282052,0.9430379746835443,0.9665551839464883,0.9675324675324676,0.029387995222037264
KNN + SVM (Weighted),KNN + SVM,pairwise_weighted,"{""KNN"": 1.0, ""SVM"": 0.0}",0.991675839295542,0.9913562816173002,0.9551282051282052,0.9430379746835443,0.9665551839464883,0.9675324675324676,0.029387995222037264
Hybrid Ensemble (Unweighted),KNN + SVM + Random Forest,triplet_unweighted,"{""KNN"": 0.3333, ""SVM"": 0.3333, ""Random Forest"": 0.3333}",0.9903475720756953,0.9891947651597477,0.9570747217806042,0.9525316455696202,0.959866220735786,0.9616613418530351,0.0335307726014747
SVM + RF (Weighted),SVM + Random Forest,pairwise_weighted,"{""SVM"": 0.081, ""Random Forest"": 0.919}",0.990178231234918,0.9899071225458533,0.9587301587301588,0.9556962025316456,0.959866220735786,0.9617834394904459,0.03783535937804888
RF Alone,Random Forest,individual,"{""Random Forest"": 1.0}",0.990120020320901,0.9899168092896385,0.9587301587301588,0.9556962025316456,0.959866220735786,0.9617834394904459,0.037900331707317075
KNN + SVM (Unweighted),KNN + SVM,pairwise_unweighted,"{""KNN"": 0.5, ""SVM"": 0.5}",0.9887811692985056,0.9818907721699743,0.9423076923076923,0.930379746835443,0.9531772575250836,0.9545454545454546,0.03365747346139119
SVM + RF (Unweighted),SVM + Random Forest,pairwise_unweighted,"{""SVM"": 0.5, ""Random Forest"": 0.5}",0.9887811692985056,0.9877387600820234,0.9525316455696202,0.9525316455696202,0.9498327759197325,0.9525316455696202,0.03957164593067131
SVM Alone,SVM,individual,"{""SVM"": 1.0}",0.9787900596926464,0.9731085587190296,0.939873417721519,0.939873417721519,0.9364548494983278,0.939873417721519,0.04618896937874532
