candidate,seed,roc_auc,pr_auc,f1,recall,specificity,brier
KNN Alone,11,0.9881620168494136,0.9875069759482051,0.945859872611465,0.939873417721519,0.9498327759197325,0.03448884565693514
SVM Alone,11,0.9704606070869142,0.9621678104689831,0.9363057324840764,0.930379746835443,0.939799331103679,0.0509978361288232
RF Alone,11,0.9879556326997163,0.9868891970869429,0.9632,0.9525316455696202,0.9732441471571907,0.03978906016260163
KNN + SVM,11,0.9830235807120781,0.9765104863113814,0.9488817891373802,0.939873417721519,0.9565217391304348,0.03867250013911408
KNN + RF,11,0.9900194741966892,0.9889709650017824,0.9569377990430622,0.9493670886075949,0.9632107023411371,0.03403316075436854
SVM + RF,11,0.9844418102535879,0.982056879064127,0.9445324881141046,0.9430379746835443,0.9431438127090301,0.04236792258655119
Hybrid Ensemble (Unweighted),11,0.9870771770881843,0.9847238905471535,0.952076677316294,0.9430379746835443,0.959866220735786,0.03722428799686392
Hybrid Ensemble (Weighted),11,0.9896278735023918,0.988633124355071,0.945859872611465,0.939873417721519,0.9498327759197325,0.033692372099628096
KNN Alone,22,0.9871353880022015,0.9826947809844402,0.972972972972973,0.9683544303797469,0.9765886287625418,0.02640931218514134
SVM Alone,22,0.9829177426865923,0.9785587605208647,0.9537480063795853,0.9462025316455697,0.959866220735786,0.03877674560497628
RF Alone,22,0.9913424495152618,0.990517685066775,0.9696969696969697,0.9620253164556962,0.9765886287625418,0.03339374308943089
KNN + SVM,22,0.9899348037763007,0.9850140132889021,0.9664,0.9556962025316456,0.9765886287625418,0.02934941410482702
KNN + RF,22,0.9922103213242454,0.9912937277522965,0.9777070063694268,0.9715189873417721,0.9832775919732442,0.026960664584983536
SVM + RF,22,0.9891092671775116,0.9871230134943761,0.9633173843700159,0.9556962025316456,0.9698996655518395,0.033600262795146496
Hybrid Ensemble (Unweighted),22,0.9905698319292155,0.9885195349564982,0.9696969696969697,0.9620253164556962,0.9765886287625418,0.0290068405622533
Hybrid Ensemble (Weighted),22,0.9918610558401422,0.9909743742047797,0.9760765550239234,0.9683544303797469,0.9832775919732442,0.025954393204239062
KNN Alone,33,0.9847064053173024,0.9785005366313912,0.9581993569131833,0.9430379746835443,0.9732441471571907,0.032990980504743375
SVM Alone,33,0.9772024893103595,0.9705679379277677,0.9406099518459069,0.9272151898734177,0.9531772575250836,0.04712126930012063
RF Alone,33,0.9899506794801236,0.9896573292172105,0.9499192245557351,0.930379746835443,0.9698996655518395,0.038522588617886176
KNN + SVM,33,0.9880826383302993,0.9810174836522881,0.9514563106796117,0.930379746835443,0.9732441471571907,0.03639563831135405
KNN + RF,33,0.9908926379069471,0.9905025348044533,0.9548387096774194,0.9367088607594937,0.9732441471571907,0.03279699491382928
SVM + RF,33,0.989246856610643,0.9879361811517542,0.944,0.9335443037974683,0.9531772575250836,0.04005459088328004
Hybrid Ensemble (Unweighted),33,0.989723127725329,0.9883877440681225,0.9497568881685575,0.9272151898734177,0.9732441471571907,0.035372673112344814
Hybrid Ensemble (Weighted),33,0.9911784005757588,0.9907496620224543,0.956661316211878,0.9430379746835443,0.9698996655518395,0.0323051097267096
KNN Alone,44,0.989336818932306,0.9845351664961699,0.9558359621451105,0.9588607594936709,0.9498327759197325,0.02932036818351468
SVM Alone,44,0.9782185343550232,0.9706075588651236,0.9514866979655712,0.9620253164556962,0.9364548494983278,0.03913463662852977
RF Alone,44,0.9916335040853478,0.991335904258512,0.9716088328075709,0.9746835443037974,0.9665551839464883,0.03373861463414635
KNN + SVM,44,0.9859552940180348,0.9765251178379433,0.9605055292259084,0.9620253164556962,0.9565217391304348,0.030210231617778374
KNN + RF,44,0.9933586639007662,0.9929332182848393,0.9651898734177216,0.9651898734177216,0.9632107023411371,0.02828819917909041
SVM + RF,44,0.9898395495533636,0.9885427540721947,0.957613814756672,0.9651898734177216,0.9464882943143813,0.033691500916308036
Hybrid Ensemble (Unweighted),44,0.9915223741585877,0.990105327259076,0.9605055292259084,0.9620253164556962,0.9565217391304348,0.029618456378501832
Hybrid Ensemble (Weighted),44,0.9930623174294061,0.9926352707619952,0.9558359621451105,0.9588607594936709,0.9498327759197325,0.02831966898870748
KNN Alone,55,0.9927712628593202,0.9915626915772582,0.9603803486529319,0.9588607594936709,0.959866220735786,0.028183038661619687
SVM Alone,55,0.9743025274120486,0.9678790965224557,0.9525316455696202,0.9525316455696202,0.9498327759197325,0.041569405941595076
RF Alone,55,0.991728758308285,0.9904305506440959,0.9697933227344993,0.9651898734177216,0.9732441471571907,0.031559830894308936
KNN + SVM,55,0.989828965750815,0.9846144780538415,0.9587301587301588,0.9556962025316456,0.959866220735786,0.031653664923808916
KNN + RF,55,0.9928241818720629,0.9913521140717518,0.9682539682539683,0.9651898734177216,0.9698996655518395,0.027004112058035646
SVM + RF,55,0.9901358960247236,0.987833238852222,0.9525316455696202,0.9525316455696202,0.9498327759197325,0.033951627110490316
Hybrid Ensemble (Unweighted),55,0.9910990220566445,0.9886984816277066,0.9617834394904459,0.9556962025316456,0.9665551839464883,0.029902815652423982
Hybrid Ensemble (Weighted),55,0.9925595868083485,0.9910831807592129,0.9588607594936709,0.9588607594936709,0.9565217391304348,0.027216850955529875
