target,prob_knn,prob_svm,prob_random_forest,prob_hybrid_unweighted,prob_hybrid_weighted
0,3.238856394409212e-08,0.07442045148441459,0.02,0.03147349462432618,0.00304486949246351
0,0.0,0.0743893500094803,0.072,0.048796450003160095,0.010961431325289407
1,1.0,0.9307615868536918,0.972,0.9675871956178973,0.9957372211512764
1,1.0,0.9942637416287649,0.984,0.9927545805429215,0.997564126372158
1,1.0,0.991720712825326,0.98,0.9905735709417754,0.9969551579651974
0,0.0,0.019130958048093113,0.028,0.01571031934936437,0.004262778848723659
1,1.0,0.9308443443077501,0.78,0.9036147814359167,0.9665067376171713
1,1.0,0.986577776252477,0.992,0.9928592587508257,0.998782063186079
1,0.9999999777899607,0.9308603054799867,0.836,0.9222867610899824,0.9750322764858823
1,1.0,0.923687785182665,0.916,0.9465625950608884,0.987211663453829
0,0.07879095524731788,0.14277232721889238,0.08,0.10052109415540343,0.0789750227615641
1,1.0,0.993788706704796,0.94,0.9779295689015987,0.9908654738955922
0,0.0,0.0003514297503936798,0.0,0.0001171432501312266,0.0
0,0.0,0.07436490220122319,0.052,0.04212163406707439,0.007916589290486794
0,0.506778018719211,0.6030252321799661,0.3,0.4699344169663924,0.4752976985557382
0,0.0,0.0012313648457485775,0.008,0.0030771216152495257,0.0012179368139210453
1,1.0,0.9790542264026423,0.96,0.979684742134214,0.9939103159303948
0,0.0,0.09174943268592145,0.032,0.04124981089530715,0.004871747255684181
1,1.0,0.9952166378395199,1.0,0.9984055459465067,1.0
0,0.0,0.034277428327210195,0.06,0.0314258094424034,0.00913452610440784
0,0.0,0.081362539526289,0.1,0.060454179842096334,0.015224210174013068
1,0.5669942636795823,0.17634828726461282,0.592,0.445114183648065,0.5708011895325622
0,0.0,0.07662567391094992,0.068,0.048208557970316646,0.010352462918328887
0,0.0,0.023389012750945494,0.02,0.014463004250315164,0.0030448420348026133
0,0.0,0.07429485920656279,0.032,0.035431619735520926,0.004871747255684181
1,1.0,0.9406153301737897,0.992,0.9775384433912633,0.998782063186079
0,0.07879095524731788,0.14277232721889238,0.08,0.10052109415540343,0.0789750227615641
0,0.0,0.0017705572814425464,0.004,0.0019235190938141822,0.0006089684069605227
1,1.0,0.940593701743789,0.928,0.956197900581263,0.9890385686747106
0,0.0,0.0742449783589545,0.032,0.03541499278631816,0.004871747255684181
1,1.0,0.9496874444178762,0.952,0.9672291481392921,0.9926923791164738
1,1.0,0.9307896124588032,0.9,0.9435965374862677,0.984775789825987
0,0.0,0.018947031002443826,0.164,0.06098234366748128,0.024967704685381432
0,0.0,0.005276027527601025,0.004,0.003092009175867008,0.0006089684069605227
0,0.0,0.07150251263845533,0.048,0.03983417087948511,0.007307620883526272
1,1.0,0.9497069522562972,0.852,0.9339023174187657,0.9774681689424607
0,0.0,0.0011077657916515181,0.004,0.0017025885972171727,0.0006089684069605227
1,1.0,0.9660294015752658,0.872,0.9460098005250885,0.9805130109772633
1,1.0,0.930769107480724,0.984,0.9715897024935747,0.997564126372158
1,1.0,0.930884862828013,0.804,0.9116282876093376,0.9701605480589344
0,0.0,0.0953716462649277,0.276,0.1237905487549759,0.04201882008027607
0,0.0,0.07451588728595712,0.008,0.02750529576198571,0.0012179368139210453
1,1.0,0.9884757130416382,0.988,0.9921585710138793,0.9981730947791184
0,0.0,0.09168447284648357,0.312,0.13456149094882786,0.04749953574292077
1,1.0,0.9108286206738623,0.912,0.9409428735579541,0.9866026950468685
1,1.0,0.8292953525096672,0.796,0.8750984508365557,0.9689426112450134
0,0.0,0.09172250048756793,0.032,0.04124083349585598,0.004871747255684181
1,1.0,0.940593170835927,0.916,0.9521977236119756,0.987211663453829
1,1.0,0.9752248856403468,0.952,0.9757416285467823,0.9926923791164738
1,1.0,0.9307932372837928,0.876,0.9355977457612643,0.9811219793842239
0,0.0,0.07447645881520878,0.096,0.05682548627173626,0.014615241767052544
0,0.0,0.043309229396189745,0.016,0.01976974313206325,0.0024358736278420907
1,1.0,0.9999958294348112,0.996,0.9986652764782704,0.9993910315930394
0,0.0,0.08137257146612455,0.008,0.029790857155374845,0.0012179368139210453
1,1.0,0.9358775248323425,0.908,0.9479591749441142,0.985993726639908
0,0.0,0.8319074592695047,0.312,0.3813024864231682,0.04749953574292077
1,0.8962260306516476,0.9869393305834481,0.856,0.9130551204116985,0.8901019352005779
0,0.0,0.0029809736946503165,0.056,0.01966032456488344,0.008525557697447318
1,1.0,0.9999958294348112,0.996,0.9986652764782704,0.9993910315930394
0,0.0,0.0915747051939002,0.072,0.05452490173130006,0.010961431325289407
0,0.0,0.04157849784204517,0.0,0.013859499280681723,0.0
1,1.0,0.9357929208198196,0.776,0.9039309736066065,0.9658977692102108
0,0.0,0.018027491093291246,0.0,0.006009163697763748,0.0
0,0.0,0.09225132476504053,0.308,0.13341710825501352,0.04689056733596025
0,6.732657573923305e-08,0.09169113442692631,0.064,0.05189706725116735,0.009743551588004709
1,1.0,0.9957996771627513,0.944,0.9799332257209171,0.9914744423025528
0,0.08625070747903786,0.1772838983554342,0.1,0.12117820194482402,0.088343928669869
0,0.0,0.0813114994169855,0.004,0.0284371664723285,0.0006089684069605227
1,1.0,0.9358335117567609,0.852,0.9292778372522537,0.9774681689424607
1,1.0,0.9930698456976955,1.0,0.9976899485658985,1.0
0,0.0,0.07664455933845749,0.032,0.03621485311281916,0.004871747255684181
1,1.0,0.9662422187184332,0.988,0.9847474062394778,0.9981730947791184
0,0.0,0.22691245323525225,0.076,0.10097081774508408,0.011570399732249931
0,0.08260909858238914,0.06130119037363798,0.116,0.08663676298534238,0.08769259959320373
0,0.0,0.0073349767400097635,0.044,0.017111658913336585,0.006698652476565749
1,1.0,0.9108106737903621,0.908,0.9396035579301207,0.985993726639908
0,0.0,0.01181626754213653,0.012,0.007938755847378845,0.001826905220881568
1,0.9999999343278213,0.9107025469515937,0.912,0.9409008270931384,0.9866026393727603
1,1.0,0.9999993669617222,0.996,0.9986664556539074,0.9993910315930394
1,1.0,0.9497649166633839,0.832,0.927254972221128,0.9744233269076581
0,0.0,0.02033839814536349,0.068,0.029446132715121167,0.010352462918328887
1,1.0,0.9934628911894368,0.992,0.9951542970631456,0.998782063186079
1,1.0,0.8916322643308389,0.956,0.9492107547769463,0.9933013475234342
0,0.0,0.0073170284885298665,0.052,0.019772342829509956,0.007916589290486794
0,0.0,0.012696359977084808,0.048,0.020232119992361602,0.007307620883526272
1,0.9999999210074251,0.9108278310639784,0.936,0.9489425840238012,0.9902564385220524
1,1.0,0.9867303274195165,0.876,0.9542434424731722,0.9811219793842239
1,1.0,0.9496847715996549,0.88,0.9432282571998849,0.9817309477911844
0,0.0,0.05345604795857409,0.296,0.1164853493195247,0.04506366211507867
0,0.0,0.0767233260865991,0.012,0.029574442028866364,0.001826905220881568
1,1.0,0.9894004863688732,0.936,0.9751334954562911,0.9902565054886316
0,0.0,0.07438416265912962,0.08,0.05146138755304321,0.012179368139210453
1,1.0,0.9405602361623079,0.908,0.9495200787207693,0.985993726639908
1,1.0,0.9660087633066766,0.932,0.9660029211022255,0.9896475370816712
0,0.0,0.0767057215794447,0.044,0.040235240526481565,0.006698652476565749
0,0.0,0.07417210044165373,0.156,0.07672403348055125,0.023749767871460385
0,0.0,0.07423464616048697,0.008,0.027411548720162326,0.0012179368139210453
1,1.0,0.8208837889662509,0.824,0.8816279296554169,0.973205390093737
1,1.0,0.9308185659098768,0.876,0.9356061886366255,0.9811219793842239
0,0.0,0.05541483750752361,0.004,0.019804945835841203,0.0006089684069605227
1,1.0,0.999984292198576,0.996,0.9986614307328586,0.9993910315930394
1,0.6944442408657299,0.4046314116305411,0.64,0.5796918841654236,0.6861555352086853
0,0.0,0.08139162968192207,0.016,0.03246387656064069,0.0024358736278420907
1,1.0,0.9894004863688732,0.936,0.9751334954562911,0.9902565054886316
0,0.0,0.0743893500094803,0.072,0.048796450003160095,0.010961431325289407
1,1.0,0.9358416556054313,0.944,0.9599472185351438,0.9914744423025528
0,0.08264121982178863,0.03736736765768652,0.072,0.06400286249315838,0.08102117815104079
1,1.0,0.9857279341904319,0.984,0.9899093113968106,0.997564126372158
0,0.0,0.08132318507868139,0.02,0.03377439502622713,0.0030448420348026133
0,0.0,0.0744928850755293,0.124,0.06616429502517644,0.018878020615776203
0,1.0,0.999996926121832,0.964,0.987998975373944,0.9945192843373554
1,1.0,0.9770843303080675,0.932,0.9696947767693559,0.9896475370816712
1,1.0,0.8924510635232518,0.956,0.949483687841084,0.9933013475234342
1,0.5810328874500221,0.05973316489954182,0.38,0.34025535078318797,0.5504272181457437
0,0.0,0.07665921049745812,0.116,0.06421973683248604,0.01766008380185516
0,0.0,0.03460610194372369,0.0,0.011535367314574564,0.0
1,1.0,0.9909714564255292,0.988,0.9929904854751763,0.9981730947791184
1,1.0,0.9941080578902416,0.996,0.9967026859634139,0.9993910315930394
0,0.0,0.01656256193693664,0.076,0.030854187312312212,0.011570399732249931
1,1.0,0.9621450560185192,0.932,0.9647150186728397,0.9896475370816712
1,1.0,0.9779134934727183,0.972,0.9833044978242395,0.9957372211512764
0,0.0,0.009850763524244265,0.004,0.004616921174748088,0.0006089684069605227
0,0.0,0.03382211585977764,0.024,0.01927403861992588,0.003653810441763136
0,0.0,0.003261713093563232,0.044,0.015753904364521076,0.006698652476565749
1,1.0,0.9406478797357947,0.904,0.9482159599119315,0.9853847582329475
1,1.0,0.9497354705244413,0.904,0.9512451568414804,0.9853847582329475
0,0.0,0.09170658347321528,0.096,0.06256886115773842,0.014615241767052544
0,0.0,0.09164983122481983,0.008,0.03321661040827328,0.0012179368139210453
0,0.0,0.07441330241782777,0.044,0.03947110080594259,0.006698652476565749
0,0.0,0.0003035574191336865,0.0,0.0001011858063778955,0.0
0,0.0,0.07674982401791952,0.004,0.026916608005973175,0.0006089684069605227
0,0.0,0.02983296596797918,0.0,0.009944321989326392,0.0
0,0.0,0.07426038633884438,0.044,0.039420128779614795,0.006698652476565749
1,1.0,0.9559321677666038,0.924,0.9599773892555347,0.9884296002677501
1,1.0,0.9405458736169238,0.9,0.9468486245389746,0.984775789825987
1,1.0,0.9660087633066766,0.932,0.9660029211022255,0.9896475370816712
1,1.0,0.9962122449130557,0.96,0.9854040816376853,0.9939103159303948
0,0.0,0.07659749391857401,0.024,0.033532497972858004,0.003653810441763136
1,1.0,0.9405602361623079,0.908,0.9495200787207693,0.985993726639908
1,0.9201998316263851,0.9892552782378501,0.912,0.9404850366214118,0.9189514720256691
0,0.0,0.07449453759087171,0.08,0.05149817919695724,0.012179368139210453
0,0.4760213248851007,0.6537492555510227,0.432,0.5205901934787077,0.46931942586320785
1,1.0,0.9107693551775994,0.904,0.9382564517258665,0.9853847582329475
1,1.0,0.9807388667401297,0.964,0.9815796222467098,0.9945192843373554
1,0.7418116868278637,0.9385829127259686,0.688,0.7894648665179441,0.733619282527008
1,1.0,0.9999982720062448,0.992,0.9973327573354149,0.998782063186079
0,0.0,0.04274115998441187,0.052,0.03158038666147062,0.007916589290486794
1,1.0,0.949716209346772,0.916,0.955238736448924,0.987211663453829
0,1.7234121556367953e-08,0.07668359804824672,0.044,0.04022787176078942,0.006698667086928418
0,0.1706741854825667,0.6744075128625643,0.468,0.437693899448377,0.215939692386297
1,1.0,0.9929912885200538,0.984,0.9923304295066847,0.997564126372158
0,0.0,0.08132960886861859,0.024,0.03510986962287286,0.003653810441763136
1,1.0,0.967524587708447,0.984,0.983841529236149,0.997564126372158
0,0.0842322575118287,0.5470899860288103,0.428,0.3531074145135464,0.1365681811386879
1,1.0,0.9855288285860261,0.98,0.9885096095286753,0.9969551579651974
1,1.0,0.9650327970398039,0.944,0.9696775990132679,0.9914744423025528
1,1.0,0.9676784584695614,0.964,0.977226152823187,0.9945192843373554
0,0.0,0.8319074592695047,0.312,0.3813024864231682,0.04749953574292077
1,1.0,0.9888631969834297,0.988,0.99228773232781,0.9981730947791184
1,1.0,0.9307982211310399,0.944,0.9582660737103467,0.9914744423025528
1,1.0,0.9358656167457227,0.968,0.9679552055819075,0.9951282527443158
1,1.0,0.9764657755236942,0.908,0.9614885918412314,0.985993726639908
0,0.0,0.07674711000084097,0.148,0.07491570333361365,0.022531831057539337
0,0.0,0.004648024567586223,0.012,0.005549341522528742,0.001826905220881568
0,0.0,0.009693907088691398,0.18,0.06323130236289713,0.027403578313223518
0,0.0,0.08131388007402146,0.18,0.08710462669134049,0.027403578313223518
0,2.387968617063314e-08,0.08133492446585482,0.12,0.06711164944851367,0.01826907245300824
0,0.0,0.07422475543957752,0.248,0.10740825181319251,0.037756041231552406
1,0.6911430736531303,0.8936532260806124,0.936,0.8402654332445808,0.7284206067458061
0,0.0,0.01534429823005749,0.0,0.00511476607668583,0.0
0,0.0,0.0003035574191336865,0.0,0.0001011858063778955,0.0
1,1.0,0.9999815220210807,0.96,0.9866605073403601,0.9939103159303948
1,1.0,0.9556693361390055,0.988,0.9812231120463352,0.9981730947791184
0,0.0,0.09163382890131819,0.104,0.0652112763004394,0.01583317858097359
1,1.0,0.9443426142361365,0.944,0.9627808714120455,0.9914744423025528
1,1.0,0.9914633952341994,1.0,0.9971544650780665,1.0
1,1.0,0.9999846670455023,0.992,0.9973282223485008,0.998782063186079
0,0.0,0.07429047791163697,0.012,0.028763492637212323,0.001826905220881568
1,0.26758200107005786,0.9287069354972369,0.452,0.5494296455224316,0.2956581848258614
1,1.0,0.9107246774092889,0.864,0.9249082258030962,0.9792950741633423
1,1.0,0.9541645000143205,0.976,0.9767215000047735,0.9963461895582368
1,1.0,0.9703674016490478,0.968,0.9794558005496826,0.9951282527443158
