candidate,curve,bin_low,bin_high,mean_predicted,observed_frequency,count
KNN,uncalibrated,0.0,0.1,0.00466616241942967,0.03,100
KNN,uncalibrated,0.1,0.2,0.17567530358622338,0.0,2
KNN,uncalibrated,0.4,0.5,0.4173781217846151,0.0,1
KNN,uncalibrated,0.5,0.6,0.5190024725133893,1.0,3
KNN,uncalibrated,0.8,0.9,0.8397506028230123,1.0,4
KNN,uncalibrated,0.9,1.0,0.9999999954446943,1.0,95
KNN,calibrated,0.0,0.1,0.0,0.0,97
KNN,calibrated,0.5,0.6,0.5,0.5,6
KNN,calibrated,0.9,1.0,1.0,1.0,102
SVM,uncalibrated,0.0,0.1,0.037501932673945824,0.03260869565217391,92
SVM,uncalibrated,0.1,0.2,0.13838822635119574,0.3333333333333333,3
SVM,uncalibrated,0.2,0.3,0.23754912403141848,0.25,4
SVM,uncalibrated,0.3,0.4,0.32477721848216334,0.0,4
SVM,uncalibrated,0.5,0.6,0.56161218877601,1.0,2
SVM,uncalibrated,0.7,0.8,0.7988331014915953,1.0,1
SVM,uncalibrated,0.8,0.9,0.8757989312280154,0.75,4
SVM,uncalibrated,0.9,1.0,0.974358085713984,0.9894736842105263,95
SVM,calibrated,0.0,0.1,0.0,0.0,89
SVM,calibrated,0.3,0.4,0.3571428571428571,0.35714285714285715,14
SVM,calibrated,0.8,0.9,0.8,0.8,5
SVM,calibrated,0.9,1.0,0.9896907216494847,0.9896907216494846,97
Random Forest,uncalibrated,0.0,0.1,0.031052631578947373,0.0,76
Random Forest,uncalibrated,0.1,0.2,0.15347368421052635,0.15789473684210525,19
Random Forest,uncalibrated,0.2,0.3,0.235,0.0,4
Random Forest,uncalibrated,0.3,0.4,0.384,0.0,1
Random Forest,uncalibrated,0.4,0.5,0.448,0.25,4
Random Forest,uncalibrated,0.6,0.7,0.6552,1.0,5
Random Forest,uncalibrated,0.7,0.8,0.7612,1.0,10
Random Forest,uncalibrated,0.8,0.9,0.884,1.0,5
Random Forest,uncalibrated,0.9,1.0,0.9738271604938272,1.0,81
Random Forest,calibrated,0.0,0.1,0.0,0.0,79
Random Forest,calibrated,0.1,0.2,0.1304347826086957,0.13043478260869565,23
Random Forest,calibrated,0.5,0.6,0.5,0.5,2
Random Forest,calibrated,0.9,1.0,1.0,1.0,101
Hybrid Ensemble (Weighted),uncalibrated,0.0,0.1,0.011208249024038306,0.0,97
Hybrid Ensemble (Weighted),uncalibrated,0.1,0.2,0.10439177357221173,1.0,3
Hybrid Ensemble (Weighted),uncalibrated,0.2,0.3,0.21591665091007872,0.0,2
Hybrid Ensemble (Weighted),uncalibrated,0.4,0.5,0.4232579976972767,0.0,1
Hybrid Ensemble (Weighted),uncalibrated,0.5,0.6,0.5418891587210206,1.0,3
Hybrid Ensemble (Weighted),uncalibrated,0.7,0.8,0.7956866535709226,1.0,1
Hybrid Ensemble (Weighted),uncalibrated,0.8,0.9,0.8589549792252763,1.0,3
Hybrid Ensemble (Weighted),uncalibrated,0.9,1.0,0.9906859846085865,1.0,95
Hybrid Ensemble (Weighted),calibrated,0.0,0.1,0.0,0.0,97
Hybrid Ensemble (Weighted),calibrated,0.5,0.6,0.5,0.5,6
Hybrid Ensemble (Weighted),calibrated,0.9,1.0,1.0,1.0,102
