threshold,tp,fp,tn,fn,recall_sensitivity,specificity,precision,f1,balanced_accuracy,youden_j,accuracy,predicted_positive_rate
0.05,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.06,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.07,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.08,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.09,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.1,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.11,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.12,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.13,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.14,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.15,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.16,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.17,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.18,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.19,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.2,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.21,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.22,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.23,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.24,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.25,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.26,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.27,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.28,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.29,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.3,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.31,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.32,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.33,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.34,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.35,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.36,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.37,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.38,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.39,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.4,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.41,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.42,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.43,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.44,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.45,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.46,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.47,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.48,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.49,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.5,105,3,97,0,1.0,0.97,0.9722222222222222,0.9859154929577465,0.985,0.97,0.9853658536585366,0.526829268292683
0.51,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.52,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.53,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.54,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.55,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
0.56,102,0,100,3,0.9714285714285714,1.0,1.0,0.9855072463768116,0.9857142857142858,0.9714285714285715,0.9853658536585366,0.4975609756097561
