feature,mean_abs_shap,mean_shap,rank
thalach,0.1636315444273344,0.1636315444273344,1
ca,0.161548018449518,-0.161548018449518,2
oldpeak,0.11814798069602432,-0.09694070167441417,3
chol,0.08500270524634704,0.0015348509234761852,4
cp,0.0827180634974869,0.0827180634974869,5
restecg,0.04787690203670852,-0.04787690203670852,6
fbs,0.046875,-0.046875,7
age,0.04021279670704048,-0.008962796707040477,8
trestbps,0.03133874197224685,-0.010193403704882295,9
exang,0.03125,0.03125,10
sex,0.022287203292959523,-0.022287203292959523,11
thal,0.01712906901004626,-0.009450432982774488,12
slope,0.0,0.0,13
