model,fold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tp,tn,fp,fn
Logistic Regression,1,0.8979591836734694,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.8888888888888888,0.9528619528619529,0.9549612662260883,20,24,3,2
Logistic Regression,2,0.8125,0.7407407407407407,0.9090909090909091,0.7307692307692307,0.8163265306122449,0.9335664335664335,0.9412068792451567,20,19,7,2
Logistic Regression,3,0.8541666666666666,1.0,0.6818181818181818,1.0,0.8108108108108109,0.8968531468531469,0.9119514988390128,15,26,0,7
Logistic Regression,4,0.8541666666666666,0.8947368421052632,0.7727272727272727,0.9230769230769231,0.8292682926829268,0.9073426573426573,0.9042137870831222,17,24,2,5
Logistic Regression,5,0.8541666666666666,0.8260869565217391,0.8636363636363636,0.8461538461538461,0.8444444444444444,0.8986013986013986,0.9067229017745236,19,22,4,3
SVM,1,0.8775510204081632,0.8636363636363636,0.8636363636363636,0.8888888888888888,0.8636363636363636,0.957912457912458,0.959200169268819,19,24,3,3
SVM,2,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8461538461538461,0.8181818181818182,0.9195804195804196,0.9232121264242006,18,22,4,4
SVM,3,0.8333333333333334,0.85,0.7727272727272727,0.8846153846153846,0.8095238095238095,0.8951048951048951,0.9182235319799915,17,23,3,5
SVM,4,0.8541666666666666,0.9411764705882353,0.7272727272727273,0.9615384615384616,0.8205128205128205,0.9090909090909091,0.9141730460430904,16,25,1,6
SVM,5,0.7708333333333334,0.7619047619047619,0.7272727272727273,0.8076923076923077,0.7441860465116279,0.8444055944055944,0.8396617917088645,16,21,5,6
Random Forest,1,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.8888888888888888,0.8372093023255814,0.9545454545454546,0.9528069897055569,18,24,3,4
Random Forest,2,0.8125,0.76,0.8636363636363636,0.7692307692307693,0.8085106382978723,0.8898601398601399,0.8911906529050736,19,20,6,3
Random Forest,3,0.8541666666666666,0.9411764705882353,0.7272727272727273,0.9615384615384616,0.8205128205128205,0.8951048951048951,0.9130123465156672,16,25,1,6
Random Forest,4,0.7916666666666666,0.875,0.6363636363636364,0.9230769230769231,0.7368421052631579,0.9178321678321678,0.9147376083362974,14,24,2,8
Random Forest,5,0.8125,0.782608695652174,0.8181818181818182,0.8076923076923077,0.8,0.9038461538461539,0.9149381401785432,18,21,5,4
Gradient Boosting,1,0.7959183673469388,0.75,0.8181818181818182,0.7777777777777778,0.782608695652174,0.8956228956228957,0.9101132483523713,18,21,6,4
Gradient Boosting,2,0.875,0.8333333333333334,0.9090909090909091,0.8461538461538461,0.8695652173913043,0.8881118881118881,0.8958701893229963,20,22,4,2
Gradient Boosting,3,0.7291666666666666,0.7647058823529411,0.5909090909090909,0.8461538461538461,0.6666666666666666,0.8006993006993007,0.8101977278514712,13,22,4,9
Gradient Boosting,4,0.8125,0.8823529411764706,0.6818181818181818,0.9230769230769231,0.7692307692307693,0.9160839160839161,0.9045164938009624,15,24,2,7
Gradient Boosting,5,0.7916666666666666,0.75,0.8181818181818182,0.7692307692307693,0.782608695652174,0.916083916083916,0.9355639153605887,18,20,6,4
XGBoost,1,0.8775510204081632,0.8333333333333334,0.9090909090909091,0.8518518518518519,0.8695652173913043,0.9191919191919192,0.9217622655122655,20,23,4,2
XGBoost,2,0.8125,0.7407407407407407,0.9090909090909091,0.7307692307692307,0.8163265306122449,0.8811188811188811,0.8852510736545355,20,19,7,2
XGBoost,3,0.7708333333333334,0.8235294117647058,0.6363636363636364,0.8846153846153846,0.717948717948718,0.8374125874125874,0.8283247949129797,14,23,3,8
XGBoost,4,0.8958333333333334,0.9473684210526315,0.8181818181818182,0.9615384615384616,0.8780487804878049,0.9038461538461539,0.9165396286719814,18,25,1,4
XGBoost,5,0.8125,0.782608695652174,0.8181818181818182,0.8076923076923077,0.8,0.8793706293706294,0.908728084433585,18,21,5,4
KNN,1,0.8571428571428571,0.8947368421052632,0.7727272727272727,0.9259259259259259,0.8292682926829268,0.9663299663299664,0.9611503210099466,17,25,2,5
KNN,2,0.8125,0.76,0.8636363636363636,0.7692307692307693,0.8085106382978723,0.8933566433566433,0.9050844451386247,19,20,6,3
KNN,3,0.8333333333333334,0.9375,0.6818181818181818,0.9615384615384616,0.7894736842105263,0.9090909090909091,0.9104486558046929,15,25,1,7
KNN,4,0.8125,0.8823529411764706,0.6818181818181818,0.9230769230769231,0.7692307692307693,0.8933566433566432,0.8766824714075353,15,24,2,7
KNN,5,0.8125,0.8095238095238095,0.7727272727272727,0.8461538461538461,0.7906976744186046,0.9117132867132867,0.910248447204969,17,22,4,5
MLP,1,0.8775510204081632,0.8636363636363636,0.8636363636363636,0.8888888888888888,0.8636363636363636,0.9107744107744107,0.9229391790964628,19,24,3,3
MLP,2,0.6875,0.5945945945945946,1.0,0.4230769230769231,0.7457627118644068,0.93006993006993,0.9115800077044556,22,11,15,0
MLP,3,0.8541666666666666,0.9411764705882353,0.7272727272727273,0.9615384615384616,0.8205128205128205,0.8723776223776224,0.8941010042576539,16,25,1,6
MLP,4,0.7708333333333334,0.7894736842105263,0.6818181818181818,0.8461538461538461,0.7317073170731707,0.9073426573426573,0.9057573242927934,15,22,4,7
MLP,5,0.7291666666666666,0.6551724137931034,0.8636363636363636,0.6153846153846154,0.7450980392156863,0.8391608391608392,0.8196874814732963,19,16,10,3
