model,train_size,train_auc,val_auc,gap
Logistic Regression,20,0.9979166666666666,0.8925049309664695,0.10541173570019702
Logistic Regression,47,0.9811462450592886,0.9007560815253124,0.08039016353397621
Logistic Regression,74,0.9677283896014546,0.8976769669077364,0.07005142269371822
Logistic Regression,101,0.9559654837261465,0.8965702388779311,0.059395244848215456
Logistic Regression,128,0.9569542589910291,0.903933815472277,0.053020443518752125
Logistic Regression,155,0.9529557725224391,0.8966798159105851,0.05627595661185403
Logistic Regression,182,0.949852903598007,0.9090181897874204,0.040834713810586565
Logistic Regression,209,0.9412454212454213,0.9151106728029804,0.026134748442440903
Hybrid Ensemble,20,0.9958333333333332,0.8813061582292352,0.11452717510409804
Hybrid Ensemble,47,0.9865810276679842,0.9014573745342975,0.08512365313368664
Hybrid Ensemble,74,0.9826976188586096,0.9106947183870261,0.07200290047158353
Hybrid Ensemble,101,0.9751965163423861,0.9097085250931405,0.06548799124924565
Hybrid Ensemble,128,0.975421198332709,0.9168858207319746,0.05853537760073446
Hybrid Ensemble,155,0.9723934486601153,0.9168858207319746,0.05550762792814079
Hybrid Ensemble,182,0.9704817986504392,0.919614288845058,0.05086750980538113
Hybrid Ensemble,209,0.9654212454212454,0.9233837387683541,0.0420375066528913
Random Forest,20,1.0,0.8620973044049967,0.13790269559500334
Random Forest,47,0.997463768115942,0.8929980276134122,0.10446574050252977
Random Forest,74,0.9970667902788646,0.9010409818102125,0.09602580846865205
Random Forest,101,0.9926218406085221,0.9059390751698444,0.0866827654386777
Random Forest,128,0.9924757777111447,0.9084812623274162,0.08399451538372849
Random Forest,155,0.9901315925315926,0.9134012710935788,0.07673032143801373
Random Forest,182,0.9880672941805401,0.9174884944115714,0.07057879976896864
Random Forest,209,0.9847619047619048,0.9172364672364672,0.0675254375254376
KNN,20,0.9087303113553113,0.8540214770984003,0.05470883425691109
KNN,47,0.9339552042160737,0.899693184308569,0.03426201990750466
KNN,74,0.9461271107633337,0.9010081087004164,0.0451190020629173
KNN,101,0.9384242975855074,0.9062075388998465,0.03221675868566087
KNN,128,0.9377450076286105,0.8968332237563008,0.04091178387230965
KNN,155,0.9398696977530312,0.901468332237563,0.038401365515468244
KNN,182,0.9409513566171441,0.9040543502081964,0.036897006408947775
KNN,209,0.9364926739926739,0.9132862152092922,0.023206458783381678
