model,threshold,net_benefit,treat_all_nb,advantage
Logistic Regression,0.01,0.453551912568306,0.453551912568306,0.0
Logistic Regression,0.015,0.4508014913809259,0.4508014913809259,0.0
Logistic Regression,0.0199,0.44802324290210177,0.44802324290210177,0.0
Logistic Regression,0.0249,0.4452167426721142,0.4452167426721142,0.0
Logistic Regression,0.0298,0.4423815575545442,0.4423815575545442,0.0
Logistic Regression,0.0348,0.4395172455134262,0.4395172455134262,0.0
Logistic Regression,0.0397,0.4366233553834964,0.4366233553834964,0.0
Logistic Regression,0.0447,0.4336994266332876,0.4336994266332876,0.0
Logistic Regression,0.0497,0.4307449891208076,0.4307449891208076,0.0
Logistic Regression,0.0546,0.4296539162112933,0.42775956284153005,0.0018943533697632353
Logistic Regression,0.0596,0.42681985377594117,0.4247426576684133,0.002077196107527879
Logistic Regression,0.0645,0.4239557500751047,0.4216937730836519,0.0022619769914528076
Logistic Regression,0.0695,0.4058920457826081,0.41861239790185256,-0.012720352119244438
Logistic Regression,0.0745,0.4043795229320656,0.4154980099843121,-0.011118487052246495
Logistic Regression,0.0794,0.40585554915414024,0.41235007594406325,-0.006494526789923016
Logistic Regression,0.0844,0.4033484990732048,0.4091680508413375,-0.0058195517681327025
Logistic Regression,0.0893,0.40242218144577546,0.40595137786907937,-0.003529196423303904
Logistic Regression,0.0943,0.3999586285359673,0.4026994880281326,-0.002740859492165293
Logistic Regression,0.0992,0.3974679556295776,0.3994117997916982,-0.0019438441621206226
Logistic Regression,0.1042,0.39685664195860115,0.3960877187586504,0.0007689231999507551
Logistic Regression,0.1092,0.3964209995654601,0.3927266372952753,0.0036943622701848255
Logistic Regression,0.1141,0.39405220647464784,0.38932793416497946,0.004724272309668376
Logistic Regression,0.1191,0.3916567494913701,0.385890974145494,0.0057657753458760785
Logistic Regression,0.124,0.3915554269466427,0.3824151076330788,0.009140319313563905
Logistic Regression,0.129,0.3892118020133963,0.37889967023320914,0.01031213178018714
Logistic Regression,0.1339,0.38684134341605875,0.3753439823372029,0.01149736107885585
Logistic Regression,0.1389,0.38444358764740416,0.37174734868422105,0.012696238963183115
Logistic Regression,0.1439,0.38477282820676206,0.36810905790804993,0.016663770298712133
Logistic Regression,0.1488,0.38529688331992706,0.36442838206804357,0.020868501251883498
Logistic Regression,0.1538,0.3830400312566135,0.36070457616357626,0.02233545509303725
Logistic Regression,0.1587,0.3807565776007048,0.35693687763132687,0.02381969996937794
Logistic Regression,0.1637,0.3784460492330399,0.3531245058246798,0.025321543408360125
Logistic Regression,0.1687,0.37610796174808153,0.3492666614744985,0.026841300273583057
Logistic Regression,0.1736,0.37374181911534754,0.3453625261304874,0.02837929298486014
Logistic Regression,0.1786,0.37491090520313614,0.3414112615823236,0.033499643620812536
Logistic Regression,0.1835,0.37629328671989415,0.33741200925969667,0.03888127746019748
Logistic Regression,0.1885,0.37789287308789854,0.33336388961035657,0.04452898347754197
Logistic Regression,0.1934,0.3836454999163077,0.3292660014552212,0.05437949846108647
Logistic Regression,0.1984,0.385817326282612,0.3251174213195527,0.060699904963059326
Logistic Regression,0.2034,0.3840354153697171,0.32091720273915747,0.06311821263055961
Logistic Regression,0.2083,0.3822311856490818,0.3166643755405173,0.06556681010856452
Logistic Regression,0.2133,0.3804042151564924,0.3123579450936993,0.06804627006279312
Logistic Regression,0.2182,0.37855407122327894,0.30799689153683896,0.07055717968643999
Logistic Regression,0.2232,0.37668031013470854,0.3035801689709231,0.07310014116378544
Logistic Regression,0.2282,0.3747824767752126,0.29910670462353983,0.07567577215167276
Logistic Regression,0.2331,0.37286010425985205,0.2945753979801899,0.07828470627966216
Logistic Regression,0.2381,0.3760348733562713,0.2899851198816823,0.08604975347458899
Logistic Regression,0.243,0.35780945170777156,0.2853347115860583,0.07247474012171329
Logistic Regression,0.248,0.35595331651672774,0.28062298379340855,0.07533033272331918
Logistic Regression,0.2529,0.3540725442106622,0.27584871563185753,0.07822382857880467
Logistic Regression,0.2579,0.3578637846186403,0.27101065360290033,0.08685313101573999
Logistic Regression,0.2629,0.3560808234845596,0.2661075104841784,0.0899733130003812
