feature,feature_raw,mean_abs_shap
ca_0,ca_0,0.09269696874737275
thal_2,thal_2,0.07418659833821709
cp_0,cp_0,0.0725165771768761
thal_3,thal_3,0.04770852755557408
oldpeak,oldpeak,0.03835193603923756
age×oldpeak,age_oldpeak_interaction,0.036564753581320136
exang_0,exang_0,0.03497285298145153
exang_1,exang_1,0.03383155998023933
thalach,thalach,0.020976629915208985
ca_1,ca_1,0.017862567888821623
cp_2,cp_2,0.015354500971827069
ca_2,ca_2,0.009217843574009602
chol,chol,0.009178330878625475
cp_3,cp_3,0.006609712661211509
ca_3,ca_3,0.005250924633169713
cp_1,cp_1,0.003823931695067605
thal_1,thal_1,0.0016105852112179317
ca_4,ca_4,0.0004425198486522331
thal_0,thal_0,0.00015676940634459124
