feature,feature_raw,perm_mean,perm_std,perm_rf,perm_knn,perm_svm
thal_2,thal_2,0.036305916305916265,0.009689496815626105,0.022005772005771994,0.051803751803751755,0.042857142857142795
cp_0,cp_0,0.03125541125541122,0.009655450888699893,0.03708513708513707,0.024819624819624766,0.028643578643578586
thal_3,thal_3,0.022774170274170242,0.007187839362475275,0.01706349206349207,0.04568903318903313,0.01702741702741696
ca_0,ca_0,0.014938672438672407,0.014319957737788738,0.02023809523809523,0.016035353535353503,0.009090909090909035
oldpeak,oldpeak,0.009632034632034589,0.006147342809078927,0.0068903318903318685,0.004725829725829704,0.014826839826839754
age×oldpeak,age_oldpeak_interaction,0.00896103896103892,0.005401390719758129,0.01565656565656564,0.0010101010101009908,0.006240981240981166
cp_2,cp_2,0.007406204906204883,0.003482242713765479,0.00732323232323232,0.00629509379509378,0.008044733044732999
exang_0,exang_0,0.006883116883116847,0.0052299695679407145,0.0020562770562770486,0.019624819624819576,0.0053391053391052806
thalach,thalach,0.006742424242424212,0.0036632151983003944,0.006385281385281368,0.006944444444444405,0.00699855699855696
exang_1,exang_1,0.006724386724386686,0.0054423062942576,0.0016594516594516458,0.019624819624819576,0.0053391053391052806
cp_3,cp_3,0.002950937950937922,0.0026728850929421365,0.004761904761904778,0.009054834054834057,-0.0019119769119770016
ca_3,ca_3,0.0015873015873015463,0.002241395148116332,0.0018759018759018494,0.0020202020202020185,0.0010822510822510068
cp_1,cp_1,0.000725108225108179,0.0015073883784607147,0.000613275613275573,0.004202741702741682,-0.0009018759018759666
ca_1,ca_1,0.00014790764790759988,0.0032867921615422936,0.0002525252525252301,-0.0004148629148629531,0.0003246753246752461
ca_2,ca_2,0.0001298701298700807,0.002184289067902347,0.0005772005772005724,-0.0018759018759019123,0.0006854256854255855
thal_0,thal_0,0.0,0.0,0.0,0.0,0.0
ca_4,ca_4,-0.00012626262626264022,0.0005665618583973126,-1.1102230246251566e-17,-0.00027056277056277295,-0.00018037518037520295
thal_1,thal_1,-0.0002417027417027532,0.00044342955375187895,0.0002525252525252338,-0.0021464646464646408,0.00021645021645020358
chol,chol,-0.0012265512265512437,0.0029299326137816905,-0.0037878787878787732,0.0037518037518037136,-0.001154401154401193
