model,fold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc
Majority Classifier,1,0.5510204081632653,0.0,0.0,1.0,0.0,0.5,0.4489795918367347
Majority Classifier,2,0.5416666666666666,0.0,0.0,1.0,0.0,0.5,0.4583333333333333
Majority Classifier,3,0.5416666666666666,0.0,0.0,1.0,0.0,0.5,0.4583333333333333
Majority Classifier,4,0.5416666666666666,0.0,0.0,1.0,0.0,0.5,0.4583333333333333
Majority Classifier,5,0.5416666666666666,0.0,0.0,1.0,0.0,0.5,0.4583333333333333
Random Classifier,1,0.6122448979591837,0.5789473684210527,0.5,0.7037037037037037,0.5365853658536586,0.6018518518518519,0.5139634801288937
Random Classifier,2,0.4583333333333333,0.3888888888888889,0.3181818181818182,0.5769230769230769,0.35,0.4475524475524475,0.43623737373737376
Random Classifier,3,0.5416666666666666,0.5,0.4090909090909091,0.6538461538461539,0.45,0.5314685314685315,0.47537878787878785
Random Classifier,4,0.625,0.6111111111111112,0.5,0.7307692307692307,0.55,0.6153846153846154,0.5347222222222222
Random Classifier,5,0.5,0.4444444444444444,0.36363636363636365,0.6153846153846154,0.4,0.4895104895104896,0.45328282828282823
Logistic Regression,1,0.8775510204081632,0.8333333333333334,0.9090909090909091,0.8518518518518519,0.8695652173913043,0.9545454545454546,0.9569499341238472
Logistic Regression,2,0.8125,0.76,0.8636363636363636,0.7692307692307693,0.8085106382978723,0.9353146853146854,0.9434314559314559
Logistic Regression,3,0.8541666666666666,0.9411764705882353,0.7272727272727273,0.9615384615384616,0.8205128205128205,0.8916083916083917,0.9131173053454059
Logistic Regression,4,0.8541666666666666,0.8947368421052632,0.7727272727272727,0.9230769230769231,0.8292682926829268,0.9125874125874125,0.9112634391809143
Logistic Regression,5,0.8541666666666666,0.8260869565217391,0.8636363636363636,0.8461538461538461,0.8444444444444444,0.8933566433566433,0.9018240373041582
