model,fold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,tp,tn,fp,fn
Logistic Regression,1,0.8979591836734694,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.8888888888888888,0.9528619528619529,0.9549612662260883,20,24,3,2
Logistic Regression,2,0.8125,0.7407407407407407,0.9090909090909091,0.7307692307692307,0.8163265306122449,0.9335664335664335,0.9412068792451567,20,19,7,2
Logistic Regression,3,0.8333333333333334,0.9375,0.6818181818181818,0.9615384615384616,0.7894736842105263,0.8881118881118881,0.9103106719223382,15,25,1,7
Logistic Regression,4,0.8541666666666666,0.8947368421052632,0.7727272727272727,0.9230769230769231,0.8292682926829268,0.9073426573426573,0.9042137870831222,17,24,2,5
Logistic Regression,5,0.8541666666666666,0.8260869565217391,0.8636363636363636,0.8461538461538461,0.8444444444444444,0.8986013986013986,0.9067229017745236,19,22,4,3
SVM,1,0.8775510204081632,0.9,0.8181818181818182,0.9259259259259259,0.8571428571428571,0.9377104377104377,0.9375620561924389,18,25,2,4
SVM,2,0.8125,0.782608695652174,0.8181818181818182,0.8076923076923077,0.8,0.9055944055944055,0.9114405889947685,18,21,5,4
SVM,3,0.8125,0.8421052631578947,0.7272727272727273,0.8846153846153846,0.7804878048780488,0.8793706293706294,0.9006281535811848,16,23,3,6
SVM,4,0.8125,0.8823529411764706,0.6818181818181818,0.9230769230769231,0.7692307692307693,0.9073426573426573,0.9053396060461278,15,24,2,7
SVM,5,0.8125,0.782608695652174,0.8181818181818182,0.8076923076923077,0.8,0.868881118881119,0.8804588880915989,18,21,5,4
Random Forest,1,0.8367346938775511,0.85,0.7727272727272727,0.8888888888888888,0.8095238095238095,0.9208754208754208,0.9234574355435731,17,24,3,5
Random Forest,2,0.7916666666666666,0.75,0.8181818181818182,0.7692307692307693,0.782608695652174,0.8863636363636362,0.8829818815973758,18,20,6,4
Random Forest,3,0.8333333333333334,0.85,0.7727272727272727,0.8846153846153846,0.8095238095238095,0.9038461538461539,0.9120851362390201,17,23,3,5
Random Forest,4,0.7916666666666666,0.875,0.6363636363636364,0.9230769230769231,0.7368421052631579,0.9082167832167832,0.9008133919555301,14,24,2,8
Random Forest,5,0.7916666666666666,0.75,0.8181818181818182,0.7692307692307693,0.782608695652174,0.8942307692307693,0.9075582882716949,18,20,6,4
Gradient Boosting,1,0.7346938775510204,0.68,0.7727272727272727,0.7037037037037037,0.723404255319149,0.8787878787878788,0.8911904528822963,17,19,8,5
Gradient Boosting,2,0.875,0.8333333333333334,0.9090909090909091,0.8461538461538461,0.8695652173913043,0.8846153846153846,0.9005342958579959,20,22,4,2
Gradient Boosting,3,0.7916666666666666,0.8,0.7272727272727273,0.8461538461538461,0.7619047619047619,0.826923076923077,0.8429391514316097,16,22,4,6
Gradient Boosting,4,0.8125,0.8823529411764706,0.6818181818181818,0.9230769230769231,0.7692307692307693,0.9038461538461539,0.8934940948150467,15,24,2,7
Gradient Boosting,5,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.8461538461538461,0.8181818181818182,0.9020979020979022,0.9253784053794041,18,22,4,4
XGBoost,1,0.8163265306122449,0.76,0.8636363636363636,0.7777777777777778,0.8085106382978723,0.8922558922558923,0.9003631306647996,19,21,6,3
XGBoost,2,0.8125,0.7407407407407407,0.9090909090909091,0.7307692307692307,0.8163265306122449,0.8968531468531469,0.8880011909220233,20,19,7,2
XGBoost,3,0.6875,0.6842105263157895,0.5909090909090909,0.7692307692307693,0.6341463414634146,0.7797202797202797,0.7941006350513319,13,20,6,9
XGBoost,4,0.8541666666666666,0.9411764705882353,0.7272727272727273,0.9615384615384616,0.8205128205128205,0.8898601398601399,0.895392152718519,16,25,1,6
XGBoost,5,0.8125,0.782608695652174,0.8181818181818182,0.8076923076923077,0.8,0.8916083916083917,0.918594076284871,18,21,5,4
KNN,1,0.8367346938775511,0.85,0.7727272727272727,0.8888888888888888,0.8095238095238095,0.925925925925926,0.9224449853434445,17,24,3,5
KNN,2,0.8333333333333334,0.7916666666666666,0.8636363636363636,0.8076923076923077,0.8260869565217391,0.8601398601398601,0.8174682569789582,19,21,5,3
KNN,3,0.8333333333333334,0.9375,0.6818181818181818,0.9615384615384616,0.7894736842105263,0.8819930069930071,0.8973684354366174,15,25,1,7
KNN,4,0.8125,0.8823529411764706,0.6818181818181818,0.9230769230769231,0.7692307692307693,0.8837412587412588,0.8849980035808911,15,24,2,7
KNN,5,0.8125,0.76,0.8636363636363636,0.7692307692307693,0.8085106382978723,0.840034965034965,0.7634332604710515,19,20,6,3
MLP,1,0.8367346938775511,0.85,0.7727272727272727,0.8888888888888888,0.8095238095238095,0.9208754208754208,0.9323108045596084,17,24,3,5
MLP,2,0.8541666666666666,0.8260869565217391,0.8636363636363636,0.8461538461538461,0.8444444444444444,0.9160839160839161,0.9235355233200061,19,22,4,3
MLP,3,0.8541666666666666,0.8947368421052632,0.7727272727272727,0.9230769230769231,0.8292682926829268,0.861888111888112,0.9000108464979946,17,24,2,5
MLP,4,0.75,0.7777777777777778,0.6363636363636364,0.8461538461538461,0.7,0.9020979020979021,0.8967412724752479,14,22,4,8
MLP,5,0.7083333333333334,0.6538461538461539,0.7727272727272727,0.6538461538461539,0.7083333333333334,0.7884615384615384,0.7799613464685234,17,17,9,5
